,precision,recall,f1-score,support
00000,0.9677,1.0000,0.9836,60.0000
00001,0.9876,0.9958,0.9917,720.0000
00002,0.9934,0.9960,0.9947,750.0000
00003,0.9910,0.9800,0.9855,450.0000
00004,0.9954,0.9788,0.9870,660.0000
00005,0.9749,0.9857,0.9803,630.0000
00006,1.0000,0.9200,0.9583,150.0000
00007,0.9933,0.9911,0.9922,450.0000
00008,0.9867,0.9889,0.9878,450.0000
00009,1.0000,1.0000,1.0000,480.0000
00010,0.9985,0.9985,0.9985,660.0000
00011,0.9416,0.9595,0.9505,420.0000
00012,1.0000,0.9768,0.9883,690.0000
00013,0.9904,1.0000,0.9952,720.0000
00014,0.9963,1.0000,0.9982,270.0000
00015,0.9543,0.9952,0.9744,210.0000
00016,1.0000,1.0000,1.0000,150.0000
00017,1.0000,1.0000,1.0000,360.0000
00018,0.9815,0.9513,0.9661,390.0000
00019,1.0000,0.8333,0.9091,60.0000
00020,0.8738,1.0000,0.9326,90.0000
00021,0.9104,0.6778,0.7771,90.0000
00022,0.9913,0.9500,0.9702,120.0000
00023,0.8418,0.9933,0.9113,150.0000
00024,0.9355,0.9667,0.9508,90.0000
00025,0.9811,0.9729,0.9770,480.0000
00026,0.9836,1.0000,0.9917,180.0000
00027,0.8333,0.9167,0.8730,60.0000
00028,0.9933,0.9933,0.9933,150.0000
00029,0.8571,1.0000,0.9231,90.0000
00030,0.8626,0.7533,0.8043,150.0000
00031,0.9779,0.9815,0.9797,270.0000
00032,0.9375,1.0000,0.9677,60.0000
00033,0.9722,1.0000,0.9859,210.0000
00034,0.9836,1.0000,0.9917,120.0000
00035,1.0000,0.9872,0.9935,390.0000
00036,0.9831,0.9667,0.9748,120.0000
00037,0.9836,1.0000,0.9917,60.0000
00038,0.9928,0.9957,0.9942,690.0000
00039,0.9886,0.9667,0.9775,90.0000
00040,0.9451,0.9556,0.9503,90.0000
00041,1.0000,1.0000,1.0000,60.0000
00042,1.0000,1.0000,1.0000,90.0000
accuracy,0.9808,0.9808,0.9808,0.9808
macro avg,0.9670,0.9681,0.9663,12630.0000
weighted avg,0.9813,0.9808,0.9806,12630.0000
