,precision,recall,f1-score,support
00000,1.0000,1.0000,1.0000,60.0000
00001,0.9917,0.9972,0.9945,720.0000
00002,0.9973,0.9960,0.9967,750.0000
00003,0.9932,0.9689,0.9809,450.0000
00004,0.9970,0.9909,0.9939,660.0000
00005,0.9750,0.9905,0.9827,630.0000
00006,1.0000,0.9867,0.9933,150.0000
00007,0.9934,0.9978,0.9956,450.0000
00008,0.9956,0.9956,0.9956,450.0000
00009,1.0000,1.0000,1.0000,480.0000
00010,1.0000,0.9909,0.9954,660.0000
00011,0.9928,0.9786,0.9856,420.0000
00012,1.0000,0.9609,0.9800,690.0000
00013,0.9958,0.9972,0.9965,720.0000
00014,1.0000,1.0000,1.0000,270.0000
00015,0.9127,0.9952,0.9522,210.0000
00016,0.9934,1.0000,0.9967,150.0000
00017,1.0000,1.0000,1.0000,360.0000
00018,0.9974,0.9667,0.9818,390.0000
00019,0.9524,1.0000,0.9756,60.0000
00020,0.8036,1.0000,0.8911,90.0000
00021,0.9184,1.0000,0.9574,90.0000
00022,1.0000,0.9000,0.9474,120.0000
00023,0.9671,0.9800,0.9735,150.0000
00024,1.0000,0.9778,0.9888,90.0000
00025,0.9691,0.9792,0.9741,480.0000
00026,0.9624,0.9944,0.9781,180.0000
00027,0.8955,1.0000,0.9449,60.0000
00028,0.9934,1.0000,0.9967,150.0000
00029,0.9890,1.0000,0.9945,90.0000
00030,0.9184,0.9000,0.9091,150.0000
00031,1.0000,0.9593,0.9792,270.0000
00032,1.0000,1.0000,1.0000,60.0000
00033,0.9905,0.9952,0.9929,210.0000
00034,1.0000,1.0000,1.0000,120.0000
00035,0.9923,0.9923,0.9923,390.0000
00036,0.9917,1.0000,0.9959,120.0000
00037,0.9833,0.9833,0.9833,60.0000
00038,1.0000,0.9986,0.9993,690.0000
00039,1.0000,1.0000,1.0000,90.0000
00040,0.9149,0.9556,0.9348,90.0000
00041,1.0000,1.0000,1.0000,60.0000
00042,1.0000,1.0000,1.0000,90.0000
accuracy,0.9875,0.9875,0.9875,0.9875
macro avg,0.9785,0.9867,0.9821,12630.0000
weighted avg,0.9881,0.9875,0.9876,12630.0000
