,precision,recall,f1-score,support
00000,0.9811,0.8667,0.9204,60.0000
00001,0.9700,0.9875,0.9787,720.0000
00002,0.9829,0.9973,0.9901,750.0000
00003,0.9906,0.9356,0.9623,450.0000
00004,0.9953,0.9697,0.9823,660.0000
00005,0.9426,0.9905,0.9659,630.0000
00006,0.9932,0.9667,0.9797,150.0000
00007,0.9976,0.9422,0.9691,450.0000
00008,0.9552,0.9956,0.9750,450.0000
00009,0.9755,0.9958,0.9856,480.0000
00010,1.0000,0.9848,0.9924,660.0000
00011,0.9835,0.9905,0.9870,420.0000
00012,0.9955,0.9536,0.9741,690.0000
00013,1.0000,0.9972,0.9986,720.0000
00014,1.0000,0.9963,0.9981,270.0000
00015,0.9766,0.9952,0.9858,210.0000
00016,0.9434,1.0000,0.9709,150.0000
00017,0.9972,0.9750,0.9860,360.0000
00018,0.9921,0.9615,0.9766,390.0000
00019,1.0000,0.9833,0.9916,60.0000
00020,0.8911,1.0000,0.9424,90.0000
00021,1.0000,1.0000,1.0000,90.0000
00022,1.0000,0.9250,0.9610,120.0000
00023,0.9796,0.9600,0.9697,150.0000
00024,1.0000,0.9556,0.9773,90.0000
00025,0.9630,0.9750,0.9689,480.0000
00026,0.9574,1.0000,0.9783,180.0000
00027,0.8955,1.0000,0.9449,60.0000
00028,0.9548,0.9867,0.9705,150.0000
00029,0.9889,0.9889,0.9889,90.0000
00030,0.9286,0.8667,0.8966,150.0000
00031,0.9963,0.9926,0.9944,270.0000
00032,0.9231,1.0000,0.9600,60.0000
00033,0.9721,0.9952,0.9835,210.0000
00034,1.0000,0.9667,0.9831,120.0000
00035,0.9974,1.0000,0.9987,390.0000
00036,0.9231,1.0000,0.9600,120.0000
00037,0.9077,0.9833,0.9440,60.0000
00038,0.9815,1.0000,0.9907,690.0000
00039,1.0000,0.9111,0.9535,90.0000
00040,0.9565,0.9778,0.9670,90.0000
00041,0.9365,0.9833,0.9593,60.0000
00042,0.9886,0.9667,0.9775,90.0000
accuracy,0.9794,0.9794,0.9794,0.9794
macro avg,0.9724,0.9749,0.9730,12630.0000
weighted avg,0.9800,0.9794,0.9794,12630.0000
